velocity,mass,area,angle,altitude,wind_speed,wind_direction,temperature,humidity,pressure,Cd,Cl
30.0,0.623,0.04536,45.0,0,0.0,0,25.0,60,101325,0.470,0.031
25.0,0.623,0.04536,30.0,0,5.0,90,20.0,55,101200,0.472,0.018
35.0,0.623,0.04536,60.0,0,3.0,180,22.0,70,101000,0.468,0.048
800.0,50.0,0.07069,45.0,200,15.0,270,18.0,50,100800,0.310,0.082
1200.0,80.0,0.12566,38.0,500,20.0,225,12.0,40,99500,0.285,0.065
250.0,7.26,0.01131,40.0,0,2.0,0,23.0,65,101325,0.450,0.038
180.0,0.80,0.00071,35.0,0,4.0,90,25.0,50,101325,0.250,0.025
90.0,0.145,0.00431,50.0,0,6.0,180,20.0,60,101100,0.350,0.042
15.0,0.27,0.03464,55.0,0,1.0,0,28.0,80,101325,0.475,0.055
40.0,0.43,0.03801,42.0,0,8.0,315,15.0,45,100900,0.380,0.033
500.0,200.0,0.19635,45.0,100,10.0,270,20.0,55,101000,0.295,0.078
2000.0,500.0,0.50265,30.0,1000,25.0,180,5.0,30,89000,0.280,0.055
120.0,0.623,0.04536,45.0,500,0.0,0,5.0,20,95000,0.465,0.031
30.0,0.623,0.04536,45.0,0,30.0,90,15.0,90,99000,0.482,0.028
30.0,0.623,0.04536,45.0,0,0.0,0,45.0,10,100500,0.462,0.033
8.0,0.623,0.04536,30.0,0,2.0,90,28.0,85,101200,0.471,0.020
22.0,0.80,0.00071,30.0,0,5.0,270,22.0,55,101000,0.255,0.022
350.0,7.26,0.01131,38.0,0,10.0,180,18.0,60,100800,0.445,0.041
600.0,100.0,0.07854,50.0,300,18.0,225,10.0,35,100200,0.300,0.088
1500.0,300.0,0.28274,42.0,800,22.0,270,8.0,25,92000,0.282,0.060
